country,urban_rate
Afghanistan,29.149118
Albania,61.257164
Algeria,71.81974
Angola,66.94085
Argentina,94.48409
Armenia,70.10863
Australia,91.178
Austria,71.84103
Azerbaijan,60.19972
Bahrain,22.618103
Bangladesh,36.12291
Barbados,53.1058
Belarus,79.13824
Belgium,97.748985
Benin,50.1711
Bolivia,71.37134
Bosnia and Herzegovina,56.15956
Botswana,68.34198
Brazil,89.16161
Bulgaria,76.17336
Burkina Faso,35.30466
Burundi,16.265913
Cambodia,25.638426
Cameroon,66.53027
Canada,84.67324
Cape Verde,68.97031
Central African Republic,46.61573
Chad,35.728035
Chile,91.91389
China,56.526077
Colombia,80.266495
Comoros,32.547802
Congo,68.78511
Costa Rica,70.38736
Cote d'Ivoire,58.63189
Croatia,65.20433
Cuba,79.985016
Cyprus,61.511757
Czechia,78.32668
Czechoslovakia,
Democratic Republic of Congo,43.397125
Denmark,89.29973
Djibouti,83.07926
Dominica,70.82448
Dominican Republic,74.47871
Ecuador,71.82924
Egypt,51.37935
El Salvador,70.2135
Equatorial Guinea,45.124504
Estonia,73.76821
Eswatini,27.941381
Ethiopia,22.341082
Finland,87.83533
France,87.96965
Gabon,89.14249
Gambia,41.470592
Georgia,60.1143
Germany,78.62523
Ghana,59.32204
Greece,68.12734
Guatemala,57.17784
Guinea,43.4013
Guinea-Bissau,37.48202
Haiti,62.496166
Honduras,59.290665
Hong Kong,100
Hungary,72.358536
Iceland,72.73962
India,37.489086
Indonesia,52.43259
Iran,75.76715
Iraq,72.30108
Ireland,68.66421
Israel,58.288425
Italy,72.48599
Jamaica,60.226597
Japan,71.729065
Jordan,83.1052
Kazakhstan,66.39983
Kenya,28.947062
Kuwait,100
Kyrgyzstan,42.26374
Laos,43.02832
Latvia,71.98818
Lebanon,89.48801
Lesotho,36.038677
Liberia,56.16434
Libya,82.59371
Lithuania,71.68666
Luxembourg,87.8759
Madagascar,38.053696
Malawi,25.333288
Malaysia,76.783676
Mali,44.585857
Malta,88.73605
Mauritania,49.244057
Mauritius,49.789837
Mexico,82.06279
Moldova,55.091457
Mongolia,68.749115
Montenegro,
Morocco,65.87978
Mozambique,44.54934
Myanmar,41.7287
Namibia,45.89092
Nepal,24.502125
Netherlands,86.238365
New Zealand,88.83333
Nicaragua,64.44615
Niger,22.460955
Nigeria,57.828648
North Korea,67.39183
North Macedonia,66.94907
Norway,83.969215
Oman,77.70169
Pakistan,43.693256
Palestine,
Panama,79.91764
Paraguay,68.20849
Peru,78.62244
Philippines,59.243046
Poland,67.67035
Portugal,67.48844
Puerto Rico,99.4904
Qatar,46.224564
Romania,64.59533
Russia,78.12452
Rwanda,24.698296
Saint Lucia,32.266598
Sao Tome and Principe,70.526794
Saudi Arabia,85.57482
Senegal,50.530487
Serbia,
Seychelles,
Sierra Leone,46.08112
Singapore,100
Slovakia,62.279785
Slovenia,57.303448
South Africa,68.462906
South Korea,86.33531
Spain,81.544785
Sri Lanka,19.545845
Sweden,87.61533
Switzerland,76.36329
Syria,63.00013
Taiwan,80.385735
Tajikistan,33.79476
Tanzania,33.85987
Thailand,41.580093
Togo,52.013237
Trinidad and Tobago,19.327875
Tunisia,71.710106
Turkey,73.35685
Turkmenistan,57.25612
USSR,
Uganda,18.659124
Ukraine,73.272156
United Arab Emirates,87.209015
United Kingdom,89.40352
USA,85.785065
Uruguay,93.74505
Uzbekistan,43.944805
Venezuela,95.98469
Vietnam,38.37104
Yemen,40.488636
Yugoslavia,
Zambia,43.578606
Zimbabwe,45.938335
